# https://docushare.lsstcorp.org/docushare/dsweb/Get/Document-30599/bell_localvolume_mini.pdf
# name  RA     Dec     MB     M∗/M D(Mpc) Rvir (kpc) Rvir (deg) Nfield,LSST
NGC0247 0.786  -20.760 -18.60 3e9  3.72 150 2.3 2
NGC0253 0.793  -25.292 -21.20 9e10 3.70 300 4.6 7
NGC1313 3.304  -66.498 -19.10 4e9  4.31 150 2   1
NGC4945 13.091 -49.471 -20.30 5e10 3.47 300 5   8
NGC5068 13.315 -21.039 -18.50 5e9  5.15 150 1.7 1
NGC5102 13.366 -36.630 -18.20 5e9  3.66 150 2.2 2
NGC5128 13.425 -43.017 -20.70 1e11 3.68 500 7.8 20
NGC5236 13.617 -29.868 -20.60 7e10 4.90 300 3.5 4
IC5052  20.868 -69.204 -17.90 2e9  5.50 150 1.6 1
NGC7793 23.964 -32.590 -18.30 5e9  3.63 150 2.4 2
